,Comment
14,"
    öyle bir bindirim-indirim batağına düşmüştür ki artık bu kadarı alenen dolandırıcılıktır. hem hepsiburada hem de n11'de olan bir mağaza mi box s'i hepsiburada'da 448'e satarken n11'de önce 699'a çıkarmış sonra %23 indirimle 11.11 fırsatı olarak 539 tl bedelle satışa sunmuş. biz ses çıkartmadıkça bunlar alenen aklımızla dalga geçmeye başladılar. trendyolla birlikte bırak alışveriş yapmayı, uygulamalarını bile bulundurmamak gerek.
  "
15,"
    sepetime eklediğim ürünlerin fiyatlarının artmadığı site. 10 gün önce de 667 tl gösteriyordu bu akşam da 667 tl gösteriyordu. kupondan 88 tl indirim aldım. ödemeyi garanti pay ile yapınca 50 tl daha bonus verdi. toplamda 138 lira indirimle %21 indirim almış oldum. kartımda mevcut olan 40 tl bonusumu da kullanınca benim için ciddi derecede ucuza geldi.
  "
16,"
    s10 plus’ı 4600 tl’ye aldığım site. gönül isterdiki iphone 11 alalım fakat malum.
  "
17,"
    225 45 r17 kışlık lastik iyi fiyata varsa yeşillendirin arkadaslar.
  "
18,"
    xiomi vacuum mop pro'yu 3499 liradan 360 liralık kupon kullanarak 3139 a aldığım site. diğer sitelerden daha uyguna geldi. bence karlı bir alışveriş oldu.
  "
19,"
    yazılanlar doğruysa pek ürün satma hevesi içerisinde olmadıkları söylenebilir. indirim kuponu satmak akıllıca bir fikir olmuş. ne o öyle para kazanacağım diye satıştı, faturaydı, teslimattı... yorulmaya hiç gerek yok! tebrikler kampanya yapayım derken batıran n11.com.
  "
20,"
    buradan elektronik aletler, telefonlar, tvler alıp ağlıyorsunuz. 300 500 ucuz alacağım diye büyük sorunlarla karşılaşıyorsunuz. sonra ekşi'de rezalet başlığı açıyorsunuz. almayın bu meblağlarda şeyler. 10 bin tl 7 bin tl büyük paralar. gidin amazondan 300 500 pahalıya alın. ya da mağazadan görerek alın.
  "
21,"
    şu an itibarı ile baktığımda pek yüzümü güldüren indirimler göremediğim websitesi. 15 gündür kışlık lastik bakınıyorum, hala pek bir indirim yok. bu gidişle sadece günlerdir kupon kovalayan ölücülere gidecek bu indirimli ürünler.
  "
22,"
    saatlik indirimlerde bir iphone se 2020 gördüm 5099 tl. aynı ürün trendyolda 4500 tl. müthiş indirimmiş yersen.
  "
23,"
    samsung m31 128 gb telefonu indirim ayağıyla 2900 küsüre ittirmeye çalışan site.aynı ürün hepsiburada ve amazon'da 2600 küsur...
  "
24,"
    indirim yok diyenleri anlayamadığım başlık. 800tl lik kuponla iphone 11 128gb 7300'e aldım. ben tatmin oldum açıkcası
  "
25,"
    kobo e kitap okuyucularda muazzam indirim yapmış site. idefix satıcısından kobo clara hd kaptım bir tane
  "
26,"
    site gayet hizli.aradigim urunu ucuza buldum. uzerine kuponda kullandim. sag salim alirsam kesinlikle takdir edecegim.edit: ürünler geldi. ortalama 1k daha ucuza 6 taksit aldım.teşekkürü ve takdiri hak etti.
  "
27,"
    11.11 indirimi diyerek ortalığı boşa kasıp kavurmuş e-ticaret sitesi.trendyolun daha yüksek oranlarda ve hiç uğraştırmadan hesaplara tanımladığı kuponları yok tık hızında yok ücretli diye günlerce botçulara verdiler. herhalde fena indirim olacak dedim ama gel gelelim ucundan bile geçemedi.asıl sürpriz gittigidiyor tabii. mediamarkt garantisinde 4500'den iphone satmak nerden baksan kral hareket.
  "
28,"
    kobo libra h2o'da idefix kampanya yapmış n11 fiyatı 1419 liraydı. sepete ekleyince 1408'e düştü. 100 lira da kupon kullandım 1308 tl'ye aldım. uzun zamandır kindle almak istiyordum. fiyat böyle olunca kobo aldım. 2700 civarı satılıyordu normalde. benim işime yaradı.
  "
29,"
    sepetimdeki ürünlerin stoklari bitmiş. kupon ile ucuza alacağım için sanırım. 23.59da vardi. ulkemin insanlarinin bu kadar cok gopro hero 9 ihtiyaçları oldugunu bilmiyordum.
  "
30,"
    11.11 indirimleri dediler ama bu bildiğin bindirim olmuş. pilates seti 3 gün önce 158 liraydı. bugün indirimli hali 164 ve 202 lira arasında gidip geliyor.bir tane saati sepete eklemiştim fiyatı 400 küsür falandı, indirimli hali ise 500 küsür olmuş. telefonlarda da durum aynı. mesela normalde 2000 liraya alacağınız bir telefonu, n11 indirimiyle 2200 civarına alıyorsunuz.hepsiburada ve türevleri de aynı şeyi yapmıştı. yazık ya vallahi yazık. avrupa'da öyle indirimler oluyor ki, elin bebesi harçlıklarıyla playstation alabiliyor ama bizde ise indirim ayağına fiyatlar yükseliyor. bir ürünün yanına eski fiyatı ölümüne salla ve üzerine çizik at, sonra gel o ürünü piyasa değerinin çok çok üzerinde sat.. sonra da indirim yaptım dimi kim bilecek?
  "
31,"
    samsung m51 3350 tl ye geldi. daha ne olsun
  "
32,"
    sitenin çökmemesi site altyapısından değil, ekonomik krizden kaynaklı bence.teşekkürler.
  "
33,"
    bir süper indirim, muhteşem indirim, dehşetül vahşet indirim kandırmacası daha, online alışverişi sık kullanan biri olarak aradığım ürünlerin fiyatını takip edip bildiğimden şöyle bir bakayım dedim gerçekten indirim varmı. huawei akıllı saat almayı planlıyorum ne zamandır, sanmıyordum ama bi umutla girdim birde ne göreyim fiyat aynı, üstüne de aslında 1399'du ama 1200 küsüre indirdik ibaresini yapıştırmışlar tamamdır indirmişler bak :)
  "
34,"
çabuk unutuyorsunuz
"
35,"
    530 tl olan ve internette en ucuz fiyatı burada olan bir lastiği indirime girer kuponla alırız diye beklerken dün 50 tl zam geldi. zaten 200 tl kupon kullanacaktim. vazgeçtim şimdi kontrol ettim trendyol da 480 tl. sevmesem de trendyol dan alacağım enayi miyim.
  "
36,"
    üyeliğimi sonlandıralı çok oldu.ama acaba bu sene de “ ""rahatsız olabileceğini göze alarak – en azından siren çalmayarak- mesaj atıyoruz"" diye sms gönderdiler mi üyelerine?
  "
37,"
    çok kuponum var ihtiyacı olanlara dm
  "
38,"
    1116 tl'lik alışverişe üst limiti 111 tl olan %11 kupon kullandığınızda 16 tl'lik indirim verip sizinle billur geçen alışveriş sitesi...
  "
39,"
    bunlardan alışverişi bıraktığınız zaman düzelecek bu siteler.4-5 büyük siteden biri batsa diğerleri de batma korkusu ile düzelirler.amazondan alın 3-5 fazla verip.
  "
40,"
    kupon satmak nedir amk. ha bir de bununalan gerzekler var umarım ellerinde patlamaz.adamlar gerçekten zeki 1111 liralık kuponu 555 tl’ye satmasa ve sadece 556 liralık indirim kuponu dağıtsa müşteriler kayda değer bir indirim bulamazsa ne kuponu kullanacak ne de alışveriş yapacak.ama sen tutup adamlara indirim satınca, insanlar aslında bir indirim olmasada kupona gömdüğü para yanmasın diye bir şeyler almaya çalışacak.ha bu arada buraya fiyat yazan yazarların kuponlara kaç para gömdüklerini de yazmalarını rica ediyorum.ps. bahsedilen banka kampanyaları diğer firmalarda da geçerli.
  "
41,"
    milleti tüketim delisi yapan sitelerden biri
  "
42,"
    00:00'da sepetimdeki ürünlere %5 zam yapınca amazon'a bakıp alacaklarımı toplamda %25 daha ucuza almama sebep olan yarrak kafalı e-ticaret sitesi. seneler sonra entry girdirdiniz bana amına koyduğumun çocukları. hesabımdaki kuponları da götünüze sokabilirsiniz...
  "
43,"
    satici paneli çökmüstür
  "
44,"
    satıcıların neden fiyat yükselttiğini anlayamıyorum. hepsimi aç köpek amk . ben 3 yıldır bu sitede satış yapıyorum bu kampanyalarda hiç zam yapma gereği duymadım . bana giren çıkan yok tüm indirimleri n11 şirketi karşılıyor neden zam yapayım ki amaç ne yani bir firmanın belli bir kar marjı olur bayramda da seyranda da değişmez biz babadan böyle gördük
  "
45,"
    hiç tahmin etmediğim yazar-kasa pos bugün indirime girdi ve çeklerle 109 tl zarar ettim .n11 beni şaşırttı yazar-kasa pos ve kobo fırsatları çok ciddi. 100 lira içime oturdu gerçekten 1 aydır araçtırmama ve ciddi farkla ucuza almama rağmen yazarkasa -pos için ciddi bir indirim.
  "
46,"
    fiyatı zamlanmamış ürünleri 11.11 kuponuna dahil etmemişler kupon kullanılan ürünlere de zam yapmışlar. anneme çamaşır kurutma makinesi arıyordum. zam yapmışlar ürüne. ben de hepsiburada dan cok daha uyguna aldım. teşekkürler n11
  "
47,"
    kara cuma etkinliğinin çakma cuma adında ülkemize uyarlanmasının yanı sıra kasım ayını kapsayan nitelikli dolandırıcılık ile sahte indirimleri, reklamları piyasaya sunan e-ticaret sitelerinden biri.
  "
48,"
    bu indirim oyunlarına hala inanan insanlara az bile yapmaktadır.
  "
49,"
    gerçekten lazım değilse indirimli de olsa bir şey almayın
  "
50,"
    11.11 kupon ve indirimleriyle, bir süredir takip ettiğim şu ürünler ;samsung galaxy s20 fe 128 gb 5.374 tlye geldi,tergan deri bot 155 tlye geldi,acer 165 hz 1ms 23.8"" pivot monitör 1444 tl ye geldi,canon pixma e414 printer 388 tlye geldi,bence zaten almak durumunda olduğum ürünler için bu ekonomide iyi indirimler yakaladım.fakat bu kupon satın alma işini yapamadım, 3 kere denedim sabah 9.30 da her seferinde hata verdi. onun dışında bir de notbook almam gerekiyor onuda black fridayde kapatırım diye planlıyorum.
  "
51,"
    uygulamasında eşleştirme oyunu oynayayım dedim, 3 kez denedim. her defasında tam ilerlediğim sırada, bağlantı sorunlu diyerek oyunu iptal etti.11.11 kuponu varmış, bari onu kullanayım dedim. tam alışverişimi yapacağım, kuponu tanımlamıyor. sitede her işlemi sorunsuz yapıyorum, ama iş kupon tanımlama aşamasına gelince hata veriyor. defalarca denedim, hep aynı. kendi bağlantımda hiç sorun yok ondan eminim. e site çöküyor desek o da imkansız çünkü site çökse, ürün ararken de hata verir, ödeme yaparken de hata verir. böyle özellikle indirim kuponu tanımlarken hata vermesinin nedenini, salak değilsek anlıyoruz. diyeceğim o ki şark kurnazlığı yapan abidik gubidik bir siteymiş. uygulamasını da ne ara neden indirmişim bilemedim. bu münasebetle onu da sildim. bu kadar indirim rekabeti olan bir zamanda çok kolay ekarte oldu.
  "
52,"
    gerçekten hala indirim olaylarına inanan akılsızları gösteren başlık. her sitede her gün indirim var tabii yersen.
  "
53,"
    kobo clara hd’yi 278 tl’ye aldığım site. kırık veya bozuk gelecek herhalde.
  "
54,"
    mal gibi bir haftadır kupon topluyoruz, alacağım 2150tl olan şey 00.02'de tükendi ve 2600 oldu. zaten kuponla 1950'ye alacaktım. gittim başka siteden 2020tl'ye aldım. eee noldu şimdi. uğraşıp durduğumuzla kaldık. geçen sene yine bir şeyler alabilmiştim, bu sene benim için tamamen hayal kırıklığı.bu sene benim gördüğüm tek sağlam indirimi kobo e-kitap okuyucuda yapan site.
  "
55,"
    kobo clara ‘ları onaylamayacak diye çok korktum ama bütün kobo clara siparişlerimi onayladılar.278 lira’ya 1600’ye aktif satışı olan ürün aldık bakalım teşhir mi gelicek.dün nasıl olsa yazar-kasa pos’ta indirim olmaz bu indirimler hikaye diyerek aldığım yazar kasa -pos çeklerle 100 lira ucuza alınabiliyordu.tamamen fiyasko bir indirim gecesi ama muhakkak lazım olan spesifik şeylerde insanları mutlu etti.çelik kasa’da yanılmadım indirim olmadı ama yazar-kasacılar iyi stok yaptı bu gece.
  "
56,"
    dünyanın en yalan kampanyasını yapmış olan alışveriş sitesi.husky anapurna -28 derece ağır kondisyonlu uyku tulumu bakıyorum günlerdir. genellikle 1000 lira ve 1100 lira dolaylarındaydı. n11'de 990 lira idi. hem de dolar 8.50 iken! bugün bir girdim, ne göreyim? 1200 lira. ve 1400 liranın üstünü çizmişler. ulan bu ürün hayatında hiçbir zaman 1400 lirayı görmedi. 1200'ü bile görmedi. adamlar kampanya yaparken +%25 koymuşlar. bilin bakalım şu an hepsi burada'nın sepet indirimi ile ürün ne kadar?989 tl...
  "
57,"
    yalan kampanya diye söylenen arkadaşlar websitesinde fiyat takip diye bir özellik var. 1 aylık fiyat artmış mı bakıp alın. en ucuz her zaman n11'de olmuyor lakin bakıyorum n11 mağazasında olan ürün o satıcının kendi sitesinde 200-300 tl daha ucuz.her alışveriş şirketi bu politikayla satış yapar genel geçerdir bu. amazon'da bile yapıldığını görmüşüzdür.
  "
58,"
    diğer sanal pazarlar kampanya günleri tedarikçilerine avantajlı fiyat sunsun diye komisyon indirimi yaparken, tedarikçisinden 11/11/ günü ürünlerin sergilenmesi (her 10/100/1000 ürün) için para isteyen hatta komisyon dahi indirmeyen sanal pazar!ticari zekaya hayranım.
  "
59,"
    4550 tl'ye samsung s10 plus aldım. denk geldi kuponla kaç gündür radarımdaydı.
  "
60,"
    burada ''ne indirimi len aq'' diyenlere bakmayın siz. kobo clara hd 1400 küsür liralardan 289 liraya indi. sepette %10 indirimi ve üzerine kupon indirimi ile 243 liraya geldi. yapıştırdım 4 adet acımadım. bu paraya klıfını alamazsınız. isteyene 1000 liradan satarım. gece gece 3 bin lira temiz para kazandırdı.
  "
61,"
    kupon peşinde koşturmadan zubizu app üzerinden kupon kodu alınabiliyor. kuponlar hemen hemen tüm kategorilerde geçerli.11/10033/25055/500111/1000en fazla 3 adet alınabiliyor.
  "
62,"
    indirim beklentisi ile sitelerin peşinde koşan iyi niyetli arkadaşlara söylüyorum, lütfen bu oyunlara kanmayın! 500 liralık ürünü 300 liraya kim satar amerika mı burası?
  "
63,"
    trendyol ve hepsiburada arasında erimiş sitedir
  "
64,"
    arkadaşlar bu efsane indirim falan yalan. yarın işe gideceğim beğendiğim bir akıllı saat vardı onu alayım diye sırf uyumadım. saat 03:30'da indirim başlayacaktı. tam 30 geçe sayfayı yeniledim. ürüne tıkladım. anında satışa kapalı dedi. n11 whatsappa yazdım. ürün satılmıştır dedi. bu dediklerine göre insanlar 30 sn'de ürünü sepete atıp adres ad soyad bilgisi kredi kartı bilgisi ve telefon onay kodunu yazıp siparişi anında vermişler. edit: bu arada süper indirimde 1189 lira aynı saat trendyolda 1229 lira aradaki fark 40 tl. bakın buna süper indirim diyorlar.
  "
65,"
    çok beklediğim halde son hafta macbook pro 13 10. nesil fiyatını absürt şekilde yükselten site.bende gittim trendyoldan aldım ve aynı satıcı(??)). aynı zamanda garip bir şekilde ryzen 9 3900x fiyatları yükseltmeyip düşüren ve kendisini aldıran bir alışveriş oldu.son olarakta airpods pro konusunda çok üzüldüm n11 2 ay önce 1500tl’ye ve 1499tl ye satıp anında stoklarını eritmişti.bugünün fiyatı ise ancak 1800tl denk geldi.
  "
66,"
    insanin aklini celen bazi fiyatlar gordum soyle dolasirken de ne yalan soyleyeyim bu siteden iphonelar, tvler, laptoplar falan alan insanlara husu ile bakiyorum. ben rezalet basliklarini okuyup okuyup 250 liralik mal almaya guvenemiyorum bi sorun cikarsa 2 ay pesinde kosarim diye; siz yurek yemissiniz, helal olsun. *
"
67,"
    favorilediğim ürünü indirim öncesi 75 liradan 80 liraya çıkarmış internet sitesidir.edit : indirim başladı ve tekrar 75 liraya düşürülmüş.tanım : şaka gibi internet sitesi
  "
68,"
    kupon dağıtarak hata yapan site.bu işi donanımhaber de kovalayanlardan bilirsiniz. bir kişi 10 üyelik açar toplar kuponu. aldıkları ürünü de açıktan satarlarözetle sitenin işine yaramaz. boşa kürek çekiyorlar.
  "
69,"
    uygulamada gorulen fiyat degisimi kisminin bugun gorulemedigi alisveris sitesi. once bindirim sonra indirim yaptiklari belli olmasin diye mi gizlemisler?
  "
70,"
    evet site göçmedi çünkü talep önceki senelerin çok çok altında. nedenini anlayamadığım bir şekilde ağırdan alıyorlar gibi duruyorlar, kampanya hazırlık ve tanıtımları bile önceki senelerin çok altında.isteyen baksın, gittigidiyor bile alışveriş yapmaya daha çok teşvik ediyor insanı, n11'de cır cır böcekleri ötüyor.hepsiburada ve trendyol'un yanında letgo gibi kaldılar iyice. bu kafayla tarihin tozlu sayfaları arasındaki yerini almaları çok sürmez.
  "
71,"
    kupon alamadığım için ilgilenmediğim web sitesi. insan kendi ayağına sıkar mı ya? 1000 kişiye kupon verirsen, 1000 kişi alışveriş yapar.
  "
72,"
    kobo clara hd 8 gb e-kitap okuyucu çok iyi fiyata gitmiş ihtiyacım olan bir üründü. geri kalan indirimler tırı vırı. aylardır takip ettiğim çoğu ürün indirim kuponuna rağmen başka sitelerde çok çok daha ucuz.
  "
73,"
    kaçak yollarla ülkeye sokulmuş, ımeı numarası başka cihazdan kopyalanmış telefonlar satan firmalarla çalışan site.uzak durunuz.
  "
74,"
    kupon olmadıktan sonra bi boka yaramayan 11.11 kampanyası yapan alışveriş sitesi
  "
75,"
    arabaları cidden ucuza satıyorlar. para olsa alınır. özellikle tiguan.
  "
76,"
    kuponla falan uğraşacak vaktim yok. davlumbaz alacaktım, belki bir indirim olur diye bugünü beklemiştim. fiyatlar aynı ama bu sapma sapan kupon muhabbetinden dolayı en ucuz olsa dahi n11'den almama kararı aldım..nasıl indirim yapılırı aliexpress den öğrenmeleri gereken site..
  "
77,"
    yine ekşisözlük ölücülerini başlığı altına toplamış sitedir. kullanmayacağı bir ürünü ucuza bir kaç tane alıp başkasına kitlemeye çalışan mı ararsın, aldığı kuponu satmaya çalışan mı ararsın ne ararsan var. 3 kuruş peşinde koşan bu güruh 1-2 hafta sonra kargom gelmedii ühüü, siparişim iptal edildi ühüü diye ağlamaya başlar. sonra gelsin rezalet başlıkları...
  "
78,"
    bugun indirimli sattiklari araclar stokta var gozukuyor. odeme asamasinda baska kullanici tarafindan isleme alindi diyor. tamamen sov amacli satiyorlarmis gibi gosteriyorlar. insanlar da guvenip mevduatini bozup altinini satip parayi hazir ediyor bosuna.arac yoksa yok deyip milleti ugrastirmasinlar.
  "
79,"
    reklamına sıçtığım ya.tolga çevik siktir git abicim yeter sikiyim 11ini
  "
80,"
    toplamda 5 tane golf 1.5 highline satılan platform. aylardırda reklamını yapıyorlar amk
  "
81,"
    bomboş bir 11.11 geçiriyorlar yazık
  "
82,"
    2-3 gün önce kaza bela 120 tl üzeri alışverişlerde geçerli 20 tl indirim kuponlarından bi tane alabildim. kullandığım parfüm 1 haftadır favorilerimdeydi, dün gece baktım fiyatı ne artmış ne azalmış. ben de 20 liralık kuponu parfüm almak için kullandım. yalnız kupon dağıtma olayında kesinlikle bi hile hurda döndüğünü düşünüyorum. saat 11:00'da başlayan ve 6500 adet olan indirim kuponuna tam olarak 11:00'da bastım, bu kupon tükenmiştir dedi. 5 saniye içinde nasıl tükenebiliyor anlamış değilim. ama genel olarak n11'den memnunun, bazı ürünlerde güzel indirimler yapıyolar bazen. şimdiye kadar n11'den aldığım ürünlerde bi sorun yaşamadım.
  "
83,"
    270tl lik bi ürünü 11.11 indirimiyle 270tl yapan, daha sonra da indirim bitince o ürünün fiyatını 270tl diye güncelleyen sitedir. sene sonunu bekleyip 270tl ye mi alsam acaba diye düşünmeden edemiyor insan.
  "
84,"
    kasım ayı dışında tercih edilebilir. kasımda orospuya dönüyor.
  "
85,"
    arkadaş 3 tane site (hepsiburada,trendyol,n11) , günlerdir yok muhteşem kasım yok harika kasım yok very sexi kasım diye uçankuşa reklam veriyor ama bırakın indirim yapmayı eylül ,ekimde daha ucuz olan ürünler kasımda daha pahalıya satılıyor :)yahu bu düpedüz ahlaksızlık,düpedüz dolandırılıcık işte .yok mu milleti enayi yerine koymanın bir bedeli ?efsane kasım efsane kasım diye ağladıkları 12000""lik iphone""u 11900""e indirmekse öyle efsane kasıma bacağım girsin .
  "
86,"
    satıcıların elinde kalan defolu malları, ve diğer tüketicilerin beğenmeyip iade ettikleri 2. el ürünleri kakalama festivaline hoşgeldiniz.
  "
87,"
    kupon satışından aldığım iki kuponu harcayana kadar 10 takla attım. baktığım bir ürün burada 500tl ye listelenmiş trendyol'da ve hepsiburada'da 360tl. kuponla olsa bile yedirir miyim size o parayı? aldığım tüm ürünleri hepsiburada,trendyol ve amazon ortalamasını alarak seçtim ve 10 günlük sinir stres böylece son bulmuş oldu.kendimi tutabilirsem seneye 11.11 kampanyasında önce n11'e ait herşeyi telefondan ve bilgisayar geçmişimden silmeyi düşünüyorum. ilk sene yaptıkları indirimlerin ve kuponların verdiği heyecan yok. 1555tl lik kuponu 599tl'ye mal etmişken ben bile nasıl kazık yemem diye 100 kere düşünrerek hareket ediyorsam, normal tık hızında kuponlarla alışveriş yapacak olanların önce diğer e-ticaret sitelerini kontrol etmesinde fayda var.not: eğer bir ürün sepetinizdeyken yakın zamanda zam gelmişse direkt olarak müşteri hizmetlerine yazın ve aradaki farkı alt limitsiz kupon olarak isteyin.
  "
88,"
    indirim değil bindirim şenliği yapan web sitesi. daha 9 kasım'da 293 tl olarak sepete eklediğim ürün şu an 310 tl.böyle bir sürü ürün olduğuna eminim, bu tarz uyanık mağazalara n11 neden yaptırım uygulamıyor anlamıyorum. boşuna para verip televizyonlara reklam yaptırmayın.
  "
89,"
    tek saglam indirim yapan site. hem fiyatlari çekti hem de kupon kullanırdı. gopro hero 9 u fena kaçırdık.
  "
90,"
    apple watch se 44 mm silverı 2800 lira üzeri 280 lira kuponla 2699 liraya aldım bonus genç kartımın verdiği 230 lira bonusta cabası
  "
91,"
    her sene olduğu gibi yine öncesinde kuponları ve fiyatları iyi takip edenin yüzünü güldürmüş olan sitedir* zaten n11'in asıl olayı da kuponlar.yalnız altyapı geçen seneye göre çok çok iyi, geçen sene gece yarısı hem site hem de garantipay kilitlenmişti, ilk alışverişimi gece 4'e doğru tamamlayabilmiştim. bu sene saat 1'de alacaklarımı almış, daha fazla masraf yapmamak için yatağa doğru yönelmiştim.excel'den takip ettiğim için net söyleyebiliyorum, dün gece yarısından itibaren yaptığım toplam 17 farklı alışverişin indirim ortalaması yüzde 14,57. bunların arasında yüzde 46,62 indirimli aldığım ürünler olduğu gibi en düşük yüzde 5,35 indirimle aldığım evin ufak tefek ihtiyaçları gibi şeyler de var.en iyi indirimlere bir örnek vermek gerekirse şu an her yerde üç aşağı beş yukarı 5000 tl bandında satılan yeni gopro hero9 modelini gece yarısı 4499 tl'den sattılar, bende öncesinde ücretsiz aldığım 444/4440 kuponu vardı, dolayısıyla 4055 tl'ye gelmiş oldu. bu da yüzde 18,88'lik bir indirim yapıyor. dolar ve euro'nun da durumu göz önüne alındığın yakın bir gelecekte bu fiyata amazon dahil başka bir yerin satması pek mümkün görünmüyor. bu fiyata yalnızca 10 tane sattılar, dolayısıyla hızlı olan kazandı.ayrıca bunların üzerine garanti'nin üç farklı kampanyasıyla 75+80+50 olmak üzere toplam 205 tl de bonus gelecek, o da işin kaymağı*
"
92,"
    sepetteki 695 tl'lik ürünü 11.11 gece yarısı itibariyle 845 tl'ye çıkarmış site. güzel (!) kampanyaymis.
  "
93,"
    n11'i beklemeden amazon'dan alışverişimi yaptım. bugün baktım kuponsuz indirimsiz aldığım fiyat hala n11'e göre (kupon+indirim dahil) daha ucuz. benim açımdan beklentileri boşa çıkarmıştır.
  "
94,"
    ne varsa trendyolda var
  "
95,"
    ürünlerim gelecek mi acaba diye iç darlığı veren ama en beklenmedik anda ürününe kavuşturan online alışveriş sitesi
  "
96,"
    kampanya başlamadan stokta 100 gözüken ürün kampanya başlamsına yakın nasıl azalabiliyor?madem arkadan kendiniz alacaksınız bu kadar büyük reklamlara para harcamayın. müşteride ne güven ne sadakat bırakıyorsunız.neyse ki tek değilsiniz.
  "
97,"
    o eski halinden eser yok şimdi.
  "
98,"
    telefonu diğer sitelere göre en ucuz fiyattan aldım hem de kuponlar sayesinde bir spor ayakkabı (nike) tv askı aparattı led şeritti bedavaya aldım. kuponunuz varsa gerçekten uygun fiyatta bulabilirsiniz. ancak, diğer sitelerdeki fiyatlar ile karşılaştırın. misal ben robot süpürgeyi diğer sitede çok daha uyguna buldum oradan aldım.
  "
99,"
    ben de samsung galaxy m31 bakıyordum ne zamandır hediye için. sağolsun 11.11 de olmasına rağmen, n11 de kuponlarla bile hepsiburadaya göre daha pahalıya geliyor
  "
