,Comment
10,"
    lan tam yemek söylerken çöker mi site yaa. şansımı s*****mevet çöktü
  "
11,"
    mükemmel bir teknoloji platformu. yersen.
  "
12,"
    aç kaldık. aç bıraktılar.
  "
13,"
    yapamıyorsanız bırakın aq. tanım: sürekli yavaş ve çöken site.
  "
14,"
    muhtemelen yoğunluktan dolayı patlamış site. oğlum para basıyorsunuz deli gibi, yemeksepeti de patlarsa biz ne yapalım?
  "
15,"
    iyi ki sildim dedirten. malum artık eskişehirliler nevzat aydın’ın bedduası sonrası boykota başlamıştı, getir yemek de eskişehir’de hizmete başlayınca yemeksepeti iyi ki çıkmış hayatımdan diyorum.
  "
16,"
    çöken site. mobil uygulama ""bir hata oluştu. lütfen daha sonra tekrar deneyiniz"" hatası veriyor.
  "
17,"
    kesinlikle alternatiflerinin gelmesi gerekiyor. her daim siteleri çok yavaş çalışıyor. ayıptır yahu. piyasada tekel oldukları için her geçen gün geriye gidiyorlar.
  "
18,"
    siparişi verdik kontrol edelim dedik ama an itibari ile çökmüş olan site üzdü gerçekten
  "
19,"
    asla düzgün çalışmayan site. haftasonu tam akşam yemeği saatinde çöküyorsanız ciddi sorunlarınız var demektir.
  "
20,"
    sipariş vermekle cebelleşirken trendyol'un yemekler %30 indirimli pop up'ı sayesinde trendyoldan ucuza sipariş geçmeme sebep olan site. (bkz: trendyol yemek)
  "
21,"
    uzun yıllar kullandıktan sonra sisteme getir yemek girmesiyle artık elimi sürmüyorum. genelde getir’de daha hızlı ve kaliteli restorantları görmem de bunda etkili olabilir. anladığım kadarıyla restorantlarda getir’den daha memnun heralde komisyon vs daha iyi imkan sunuyor.
  "
22,"
    sürekli çöken ve hiç bir halta yaramayan site. alternatifi yapılmalı.
  "
23,"
    ulan çökmüş, tam işe yarayacağı zaman.
  "
24,"
    server error in '/' application.runtime error adlı hata ile bizi üzdü.
  "
25,"
    iyi müşteri hizmetleri ve iyi çalışan operasyonuyla marka olmuş, her ikisini de akıllara durgunluk verecek şekilde yok etme sürecinde olan şirket. bir başarı hikayesinden fiyaskoya doğru gidiyor
  "
26,"
    29 lira 3d secure ile iç edildi. 58 liraya dürüm yemiş oldum. para nerde? havuzda. havuz nerde ys içti. ys nerde? yoğunluk var.
  "
27,"
    bir sikime yaramayan çalışanlarının olduğu yemek uygulaması. patronlardan biri burayı okuyorsa bilsin ki böyle bir şirketin bu şekil yarrağı yemesi amatörlüktür. uygulama çöker anlarsın da yarım saattir düzeltmemek ne demek.
  "
28,"
    yarım saat önce sipariş vermiştim. neyse ki yemeğim geldi. şansa yaşıyoruz valla.
  "
29,"
    maç saatinde olacak iş mi be açız aaççç
  "
30,"
    mağdur bırakan site.
  "
31,"
    her yemeksepeti çöktüğünde daha nevzat aydın'ın bile olaydan haberi olmadan buraya gelip ""aç kaldık, açız, hay mk böyle siteyi"" diyen adamlar nasıl bir evde, nasıl bir hayatta yaşıyorlar çok merak ediyorum lan. birinizin evinden bi video falan atın da halimize şükredelim aq.
  "
32,"
    an itibariyle ne uygulama, ne de web sitesi çalışmıyor.edit: getir yemek denedik, siparişi verdik, abu da ikinciyi çaktı, oooooooleeyyyyyy.
  "
33,"
    beş yıldan uzun süredir kullanıyorum. hiçbir sorun yaşamadım. daha bir saat evvel sipariş verdim ve yedim.diğer sitelerden ve uygulamalardan entry başına para mı alıyorsunuz?bu kadar belli etmeyin bari.
  "
34,"
    site halen açılmıyor aç kaldık.
  "
35,"
    yarım saati aşkın süredir açılmayan site. bu bütçede bir oluşum için çok büyük amatörlük.
  "
36,"
    buradan sipariş veremeyince tavuk dünyasını ve kfcyi aradım ama 10 dk beklememe rağmen sipariş sırası gelmedi bile. mahalledeki pidecinin gözünü seveyim * .
  "
37,"
    an itibariyle düzelmiş sitedir.
  "
38,"
    yavaş yavaş kendi sonunu hazırlayan yemek sitesi, bu zamanda bu saatte çökmek nedir arkadaş. bu sektörde tekel olmasına rağmen dünyanın parasını kazanmasına rağmen devlet kurumu mantığı ile hareket edip altyapısını geliştirmeyen bir mantık ile yönetilmesi arkadan yeni yemek sitelerinin kurulmasını insanların bu sitelere yönlenmesini hızlandıracaktır. yakında nokia gibi çağı anlayamayan zihniyeti ile tarihin tozlu sayfalarına karışması aşikardır. (bkz: sikerler böyle işi)
  "
39,"
    saçma salak ne idüğü belirsiz muhtarlık şeyi yerine keşke her siparişte bir yemek puanı verse de nerde bizde o tüketici dostuluk.
  "
40,"
    birkaç ay önce canlı yardım hattını değiştirdi, güncelledi. artık şak diye bağlanamıyorsunuz. önceden de bazen bağlanmak zaman alıyordu ama şimdi sistem kökünden değişti. canlı'ya bağlan diye bir buton bile yok. ttnet müşteri hizmetleri gibi olmuş aynı.
  "
41,"
    yemek sepeti olmadan yaşayamayan insanları gösteren başlık. o kadar aç kaldıysanız 2 yumurta kırın veya tost hazırlayın veya ilçe merkezindeki bir lokantaya gidin (sokağa çıkma yasağı olmayan günlerde) veya bildiğiniz bir restoranı arayarak sipariş verin.hayır yarın bir gün doğal afet olsa veya elektrikler günlerce kesilse veya tüm moto kuryeler greve başlasa ne yapacaksınız merak ediyorum.
  "
42,"
    artık bu yavaşlık baydı gerçekten. acilen çözüm bulunması gereken uygulama.
  "
43,"
    bu sirket kurucusu sattiktan sonra cok geriledi. 5 yil önceye nazaran 180 derece donmus durumdalar. direkt firmalari arayip siparis veriyorum, daha saglam oluyor.
  "
44,"
    pandemiye rağmen ne kadar da çok kişi dışarıdan yemek yiyormuş!ben de pandemiden önce neredeyse her gün öğle yemeğimi dışarıdan yerdim, çalıştığım için ama pandemi çıktı çıkalı en fazla 2 kere dışarıdan yemek yedim o da çok güvenilir yer olduğunu düşünmeme rağmen , nasıl da güvenip yemek söylüyorsunuz aklım almıyor, yemeği yapan kişinin covidli olmadığını nereden biliyorsun? pişiyor kardeşim diye savunanlar olacaktır, o yediğin hamburgerin yeşilliğini elle koyuyor o adam, covidse bulaşmama ihtimali çok düşük
  "
45,"
    bizim semtte bir dominos var, pizza yaptığını iddia ediyor ama ekmek donetello çarpsın ki yaptıkları pizza filan değil.ben bugün poğaça hamurundan artanlarla pizza yaptım, bakin artık hamurla ve mini fırında, işte o dominos'un sözde pizzasından güzel oldu...iste bu dükkan bir sürü kötü yorum alıyor ama gün sonunda 8.5 üzerinde bir puanı var.işte böyle bir puanlamaya müsait site...
  "
46,"
    yine zamanında çöken sitedir.
  "
47,"
    tüm üyelerine bir yemek ısmarlaması gereken sitedir.
  "
48,"
    geçen gün joker verdi, bastım kullanayım diye. ""mağaza şu an hizmet veremiyor"" dedi jokerim çöpe gitti. mağaza aktif değilse, joker olarak niye veriyorsun millete, ey yazılımcı insan.
  "
49,"
    bu ılık götlü nesile gerçekten hayret ediyorum. ekonomi başlıklarında ağlıyorlar paramız yok diye. haftanın minimum 3 günü yemeksepeti olmazsa aç kalıyorlar. tayyip müstehak bunlara. en az onun kadar ikiyüzlüler.
  "
50,"
    herkese hesabını silmesini tavsiye ettiğim sistemdir. uygulamayı değil, direkt hesabınızı silin. kvkk kapsamında tüm verilerinizin silinmesini isteyin.
  "
51,"
    muhtar olmanın bir şeye yaramadığı alışveriş yaptıkça bir karı olmayan tek yararı puanlama sistemi yüzünden satıcıların rekabet etmesi sonucu oluşan iyi hizmet olan internetten yemek söyleme hizmeti.
  "
52,"
    cok yuksek komisyon oraniyla pandemide kazanca kazanc demeyen yabanci girisim. menuye bakip telefonla siparis verin, telefonda da nakit odeyecegim diye belirtin lutfen. bunu duyan esnaf size eldeki imkanlarla azami servisi mutlaka ama mutlaka verecektir, vermezse o esnaf bizden degildir. gencler anlamaz ama biz fis almazsam kaca olur nesliyiz, kredi karti vermezsem indirim var mi nesliyiz. tuketicinin hayatini kolaylastiran her sey esnafin belini bukuyor. bari sik alisveris yaptiginiz, sevdiginiz yerleri, mekanlari yasatalim, gelistirelim derim.
  "
53,"
    son birkaç haftadır kumar sitelerinin sms ile dadanmasının müsebbibi olduğunu düşündüğüm uygulamadır. bir de kariyer.net’ten şüpheleniyorum.bu arada her geçen gün daha kötüleşiyor yemeksepeti. genel olarak eskiye nazaran daha yavaş olmasıyla beraber son zamanlarda hiç açılmamaya da başladı. kendimi 15 dakikadır sipariş tamamlamaya çalışırken buluyorum.not: restoran engelleme gelmesi gerekiyor.
  "
54,"
    o kadar yemek söylüyorum bir gün de çıkıp demedi ki al bu pizza da bizden olsun. yok muhtar oldun yok azâ oldun. rozet kazandın madalya kazandın . şöyle iyisin böyle güzelsin.beni methetme kardeşim bana yemek ver
  "
55,"
getir iyi buyurken kendini yenilemesi gereken ama yenilemeyen eski sevgili, kendisine bos degilim ama eski hislerim de kalmadi
  "
56,"
    yeni uygulamasıyla birlikte canlı yardım aracılığıyla bir operatöre ulaşmanın imkânsızlaştığı firma. sipârişin restorana ulaşmasıyla ilgili de problemleri bulunuyor. sipârişin iptal edilip edilmediğini ancak sipâriş restorana iletildiği zaman öğrenebiliyoruz. yâni yetmezmiş gibi bizim saatlerce aç kalmamıza da sebep oluyor. ne operatör desteği sunuyorlar ne de doğru dürüst hizmet verebiliyorlar. artık doğrudan restoranları arayıp telefonla sipâriş vereceğim.
  "
57,"
    bu uygulamayı kullanma sıklığı ile özsaygı arasında tersine bir korelasyon olduğunu düşünüyorum.
  "
58,"
    uygulama üzerinden sık sipariş veriyoruz ama başka bir yazarın dediği gibi rozetleri de, muhtarlığı da, puanı da umrumda değil. o puanlar ile yemek sipariş edilebilse ya da ""şu kadar sipariş verdiniz alın size promosyon kodu"" gibi kampanyalar olsa daha makbule geçerdi.
  "
59,"
    burdan sipariş etme arkadaşım. burdan restaurantını seç, hangi menü yü istiyorsan onu seç. sonra google a restaurantın adını, ara telefon numarasını burdan sipariş ver. küçük esnaf kazansın
  "
60,"
    cimrinin daniskası yemek sipariş uygulaması.yıllardır kullanıyorum. gerçekten de bir gün ne bir indirim kodu verdi ne de al bu da bizden olsun dedi... niye kullandığımı artık ben de bilmiyorum. iyi bir alternatif önerildiği takdirde terk etmeye hazırım.
  "
61,"
    yukarıdaki bir yazarın serzenişini ben defaatle tekrarladım burada, görünce yine tepem attı, yine yazacağım. cüzdana para yükle diyor, bana faydası yok. joker indirimi diyor, giren çıkan restorana olduğu için porsiyonu yarıya indirir gönderir, yine yemeksepeti'ninden kuruş çıkmaz. yine bana faydası yok. binlerce liralık sipariş vermişim, bana tek sunduğu istatistik. ne yemişim, kaç metre yemişim, kaç paralık yemişim... sokayım istatistiğine afedersin. ne bir çekiliş, ne bir hediye, ne bir promosyon, ne bir bonus. ""oyunlaştırma diye bir şey duydum süper"" diye çıkmış içlerinden dingilin biri, muhtar yarışı çıkarmışlar. rozet falan da topluyorsun. sonuç? ne restorana ne müşteriye bir yararı var, bomboş bir şey. müşteri sadakati için kasmıyor adamlar nasılsa, tekel olmuşlar çünkü. ulan telefonla bu kadar sık sipariş versem mahalledeki fırın arada 2 lahmacun da benden der promosyon yapar. gözünüz doysun.zomato paket servisi açtı allahtan, uygulamayı da biraz toparlasa yüzünüze bakmam.
  "
62,"
    hiçbir şeye yaramiyor bugune kadar toplanan puanlar. yahu hicbir amacı yoksa neden puan sistemi getirdiniz ? muhtarlık için yarışma var, kazanip muhtar olanin bu isten kazanci ne ? 3-5 restoran bedava yemek gonderip abi bize iyi yorum yap diyor işte.
  "
63,"
    musteriyi hic umursamadiklari icin sildigim ve bi daha kullanmayacagim uygulama. bugun verdigim siparis 25 dakika sonra uygulamada siparisimin hazirlandigini gordugum halde restorantin gecici sure ile adresime siparis getirmedigi icin iptal edildigini yazmis. ve bunu kacinci kez yasiyorum. canli yardimda saatler harcadigim ve restorantlara bu konuda bir yaptirim uygulaniyorsa bu konu hakkinda bilgilendirilmek istedigimi soyledim, onaylamalarina ragmen herhangi bir bilgilendirme gelmedi, bir sey yaptiklarini sanmiyorum. ne musteriler ne de restorantlar umurlarinda degil. eskiden mahkumduk ama artik ortada rekabet varken bu gidisle yok olacaklar. benim gozumde artik bittiler.edit: sorunum hakkinda cozum adina bir sey sunmamalarina ragmen 10 tllik hediye ceki lutfettiler, hemen geri dondum. bu gidisle birkac seneye adini hatirlamayacagimiz firma.
  "
64,"
    son 1 haftadır coronaya kapılmış gibi bir hali vardı. tam göçtü göçecek, bayıldı ayıldı derken sonunda küt diye gideceği belliydi. alt yapıyı bir elden geçirmek gerek. getir yemek dengelerini fena bozdu. komple baştan elden geçmesi gerek. üzerinde oynayarak bu iş olmuyor demek ki.
  "
65,"
    küçük esnaf kazansın edebiyatına konu olan site.lan geçen çiğ köfte canım istedi. iş çıkışı eve söyle, bekle falan uğraşmıyım yakınmış zaten motorla on beş dakka gidip alayım dedim. yemeksepeti'nde yazan fiyatın üstüne 2 lira koymuş adam.dedim yemeksepeti'nde fiyat böyle. o oraya özel diyor. yani adamın ayağına gidip kurye ve komisyon derdinden kurtarıyorum ama bana 2 çiğ köfteyi 4 lira fazlaya satıyor.geçen bir kebapçıda da denk geldim. yemeksepeti'nden verdik siparişi, adam para üstünü eksik verdi. dedim eksik. pardon abi, ben siz telefonla sipariş verdiniz sandım yemeksepeti'ndeki daha ucuzdu diyor.velhasıl kelam, yemeğini beğendiğiniz bir restoran varsa yemeksepeti'nden bulun, oradan sipariş verin. en azından puan, şikayet kaygısıyla bir tık daha hizmet alabiliyorsunuz.edit: özelden insanları yanıltma diye söven birkaç dingil var.isteyen veli efendinin altındaki zeytinburnu komegene çiğ köftecisine gidip kendisi test edebilir. *
"
66,"
    gel al özelliğini devreye sokmuştur:görsel
"
67,"
    bu adamların 10 yıldır çözemedikleri bir mesele var, her seferinde aynı şeyi yaşatıp kullanıcılarını mağdur ediyorlar,*bulunduğunuz lokasyonu seçiyorsunuz*restoranlar listeleniyor*seçiminizi yapıp siparişinizi veriyorsunuz*online ödeme ile ödemenizi yapıyorsunuzsonra bir mesaj"" bulunduğunuz lokasyon restoranın hizmet verdiği alan dışında bla bla"" ben semt seçerek restoran listeliyorsam bu restoran buraya hizmet veriyor demektir, baştan o listede yer almaması gerekiyor, buna rağmen siparişi alıp getirmiyorsa işine o bölge gelmemiştir ya da sipariş tutarı az geldiği için iptal etmiştir demektir.ödemeyi de gerçekleştirdiğiniz için 1 ila 10 gün arası ödediğiniz meblağ iade sürecine giriyor ve maddi olarak da mağdur ediliyorsunuz. çözmediler, çözmüyorlar, itibar kaybetmekten başka bir işe yaramıyor şu uygulamalar, sonra sosyal medyadan ağlıyorlar, destek için tel no alabilir miyiz bıdı bıdı, yüzyıldır anlatıyoruz ya, tel alma akıl al biraz.
  "
68,"
    yine bu zor günlerde nasıl milleti sömürürüz derdine düşen yasal mafya. şimdi de gel-al yapmak isteyen müşteriye göz dikmiş. zaten hali hazırda restorana gelecek olan müşteriye önceden sipariş verdirip komisyonu cepliycek. ayıptır amk :)
  "
69,"
    nevzat bey kızmasın ama karantinanın başladığı ilk zamanlarda zincir olmayan restoranlardan komisyon almamasıyla gönlümüzü kazansa da şimdi getir'le birlikte ellerini ovuşturmaya başlamış aracı firmadır.tabi ki hayır kurumu değildir ancak geçmişte paket servis hizmeti vermeyen restoranların da sürekliliğini devam ettirmesi için yemeksepeti ve getiryemek'le anlaşması şart oldu. bu durumda da koronavirüsün kazananı yemeksepeti ve getir oldu diyebiliriz.tek dileğim zor durumda olan restoranları daha da zor duruma sokmamaları. çünkü olan büyük firmalara değil, bu zar zor para kazanan işletmelere oluyor.güncelleme: teşekkürler nevzat bey, seviliyorsunuz.
  "
70,"
    yok yemeksepetinde daha ucuzmus restoranda daha pahaliymis da bilmem ne? hemen arkasindan da gel al baslamis diye entry var. reklam mi yapiyorsunuz lan aklinizca? tanim: kucuk isletmelerden yuzde 15 + kdv alan, restoranlari zorla joker indirimine sokan ve tum indirimi ona sokan online yemek siparis sitesi.
  "
71,"
    joker olayı tamamen saçmalamış uygulamadır. farklı lokasyonlarda da denedim çiğköfteciden başka joker çıkmıyor. ben de restoranın yorumlarını okuyup direkt kendilerini arayarak sipariş veriyorum.
  "
72,"
    şipariş detaylarını hiç önemsemeyen site.
  "
73,"
    gerçekten de dibine kadar cimri bir uygulamadır. puan kazanırsın adaylığa oynarsın, hiçbir getirisi olmaz. arada bir özel gündür vs indirim beklersin, asla gelmez. o en sikik restoranlarda çıkan joker artık çıkmıyor bile. lan o kadar hukukumuz var insan bi destek atar aq cimrileri.
  "
74,"
    berbat bir kampanya anlayışları var, muhtarlık falan filan zırvaları ile milletle dalga geçtikleri çok açık , bunun en büyük nedeni firmanın bu işte tekel gibi olması. umarım sağlam rakipler piyasaya girer ve müşteri memnuniyeti kapsamında adam gibi indirimler ve kampanyalar yapmaya başlarlar.
  "
75,"
    biri yazmış restoranı arayınca daha pahalı diye, yok öyle bir şey, şahsen yalnız yaşıyorum yemek yapmıyorum. neredeyse her gün yemek söylüyorum. evimin etrafındaki tüm restoranlar beni biliyor artık. 4.5 yıldır böyle çünkü. adamların hepsi bana telefonlarını kartlarını verdi, abi arayıp söylersen %20 indirimli getirir yemeksepeti çok kesiyor bizden diye. artık çok nadir durumlar dışında telefonda söylüyorum
  "
76,"
#115878963
"
77,"
    neden bu kadar eleştirildiğini anlamadığım uygulama. onca yıldır canlı destek hattına bağlanırım çözemedikleri sorun olmadı. neymiş sipariş vermiş iptal olmuş. demek mesafen uzak ve sipariş tutarın düşük restoran para kazanamayacak ve yollamıyor. yemeksepeti napsın. orası olmadı çık başka yerden söyle. sanki bana confit de canard yiyecek paşam.
  "
78,"
    10 yıla yakın süredir aktif kullanıcısıyım. 5 yıldır vejetaryenim, son 5 aydır veganım. her girdiğimde bana kebapçı, tavuklu pilavcı, kıymalı pideci jokeri çıkartıyor. startup ortamlarında aktif biri olarak çok kez, teknoloji şirketi olarak tanıtıldığına şahit oldum.cheers.
  "
79,"
    eskiden dışarıdan yemek söyleme huyum pek yoktu fakat pandemi ile beraber daha sık söylemeye başladım. 10 yıldan fazladır da burada hesabım vardır. fakat dediğim gibi çok söylememişimdir yine de. zaten 3-4 yıldır da buradan hiç söylememeye çalışıyorum. *puan diye bir şey çıkarmışlar ne puanı olduğu belli değil. çekiliş filan var sözde ben daha bir kişinin oradan bir şey kazandığını görmedim. ayrıca neyin çekilişi bu?*joker diye bir şey var evlere şenlik. hamburger alıcam diyelim puanı 7.8 olan çiğ köfteciden joker geliyor. çorba söyleyeceğim yine çiğ köfteciden joker geliyor. yahu o puanda olan bir yerden zaten bedava yemem ben. ne alırsan al ya 7 puanlı bir lahmacuncu ya da bir çiğ köfteci jokeri çıkıyor tam komedi. bir de joker çıkınca ürünlerin fiyatı artıyor. biz fark etmiyoruz sanki. kullanıcısını bu kadar salak yerine koyan başka bir uygulama daha görmedim ben. diyelim ki olmayacak bütün olasılıklar birleşti ve düzgün bir yerden joker geldi. ürünlere eklenen 3-4 lira fiyatlandırmayı da yediniz ve eskaza kullandınız diyelim jokeri. net bir şekilde gelen ürün farklı oluyor. ya daha az oluyor ya da özensiz.yani şimdi insanlar bunu neden kullansın? yakın zamanda iflası çekerler rakipleri çoğaldıkça. isminiz ve alışkanlıklar sizi bir yere kadar tutar.
  "
80,"
    enteresan bir şekilde bugün saat 20:00 itibariyle sipariş verilemiyor. devletin açıkladığı yasalara göre salı günü bu saat itibariyle gönderilerin durmasını gerektiren bir kural yoktu ama nedense yemeksepeti sanırım kendi kuralını uygulamaya koydu. hiçbir net açıklama olmaması da ayrı bir konu.
  "
81,"
    an itibariyle sistemi çökmüş uygulama.
  "
82,"
    son zamanlarda müşteri hizmetleri kısmı ağır sıçmaktadır. birine bağlanabilirseniz şanslısınız. acil müdahale etmeleri gerekiyor.
  "
83,"
    son yaşattığı mağduriyetlerden sonra binlerce liralık yemek siparişi vermiş yılların yemeksepeti kullanıcısı olarak getiryemek uygulamasını kullanmaya özen gösteriyorum. getiryemek ağını genişletirse bir daha yüzüne bakmayacağım sitedir kendileri.
  "
84,"
    2 saat önce verdiğim sipariş için 10 dk dır yardım merkezine bağlanmaya çalıştığım artık rakip firmaya ihtiyaç duyan site.
  "
85,"
    kendilerinin yaptığı aptallıklar bir değil üç değil beş değil. ben de tabi ki getir’i yükledim kafam rahat amk. istersem soda geliyor istersem hamburger. size mi kaldık la beceriksiz herifler!
  "
86,"
    bu platformda restoranların yaptığı ve yemeksepetinin izin verdiği bir duzenbazligi yazmak istiyorum. daha önce yazan olmuş mudur bilmiyorum bulamadım. restoran açılıyor, yeni olduğu için puanlar 9 10 seviyesinde. kötü ise puanlar düşmeye başlıyor 7 8 seviyelerine. şimdi 2 şekilde düzenbazlik başlıyor.1. restoran kayboluyor yemeksepetinden ve bir bakıyorsunuz bir kaç ay sonra tekrar gelmiş ve yeni ibaresiyle gelmiş puanlar tekrar 10a yakın ve siparişleri artıyor.2. ayni restoran sadece adını degistirip yemeksepetine baştan giriyor. 7 puanlık mekan oluyor tekrar 10 puan.buna izin veren yemeksepetine saygılar selamlar
  "
87,"
    restoranların başının belası. ayrıca, yiyecek fiyatların yükselmesine sebep oluyorlar.
  "
88,"
    yıl olmuş 2021 getiryemek varken hala yemeksepeti kullanan var.(bkz: getiryemek)
  "
89,"
    coronavirüs önlemlerine bir yenisi daha eklenmiş; saat 8'den sonra yemek siparişi verilemiyormuş. eve, iş çıkışı ancak 8'e dogru geliyoruz (istanbul trafiği malum). karnımız acıktı, sipariş verelim; yassah hemşerim.. işin ilginç tarafı, getir sistemi komple kapatmış yemek sepeti topu restoranlara atmış. ""açabilirsiniz ama yakalanırsanız sorumluluk size ait"" diye. amac komisyondan olmayalım..dolayısıyla, şu an yemeksepeti'nde açık gözüken bir kaç çakal restoran var, düzgün esnafın hakkını yiyor ve yemeksepeti de bir nevi çanak tutuyor..
  "
90,"
    benim anlamadığım bir şey var bu yemeksepetinde. uygulamayı açınca banabi ve yemeksepeti seçenekleri çıkıyor. yemeksepetine tıklıyorum ve direkt beni semt değişikliği ekranına atıyor. güzel kardeşim ben niye semt değiştireyim? benim zaten ev adresim iş adresim hatta sadece bir kere gittiğim hatunun tekinin adresi bile kayıtlı *. ne diye bu şekilde bir seçime itiyor her seferinde beni anlamıyorum. kardeşim anlamsızca her yemeksepetine tıkladığımda bana semt değişikliği sorma. okumuş etmiş adamım semt değiştirmek istediğimde gider semt seçerim o ekrandan.
  "
91,"
    958609935 siparişime ait yorumu yayınlamayarak üçüncü kez güvenimi sarsmış olan platform. olumsuz yorumları saklamanız ve müşteri tarafında olmamanız artık fazlasıyla soğuttu. yorumum yayınlanmayacaksa da bunu bana mail vb. yollarla bildirmeniz gerekir. bildirmeyip sessizliği seçiyorsanız bunda iyi niyet kesinlikle aranamaz.getiryemek gelene kadar yakın ve bildiğim restoranlardan telefonla sipariş vererek platformunuzu artık kullanmama kararı aldım.
  "
92,"
    sahsen mahallemdeki yerel isletmelerden siparis verirken kullanmadigim uygulama. ısletmeyi arayip bosuna yemek sepetine verme kardes yuzde13 komisyon diyorum siparisimi direkt veriyorum. sonuc daha iyi hizmet aliyorum kesinlikle.
  "
